image_id,status,psnr,ssim,lpips
1,scored,17.544098488556696,0.6915223489516059,0.1767231523990631
111,scored,12.594712813897901,0.5807638576284533,0.347503662109375
146,scored,18.242809427206765,0.6814285529634968,0.23541146516799927
179,scored,19.832774961430466,0.6592173416539281,0.17009666562080383
22,scored,14.220534751083974,0.596649309492341,0.3329339027404785
23,scored,7.558178658527844,0.2863357641683824,0.6399562954902649
493,scored,15.960222086819137,0.49627924929286577,0.2649395763874054
547,scored,19.13002370992387,0.5699600234552941,0.37184837460517883
55,scored,7.3362328017115175,0.27576461430598465,0.565790057182312
665,scored,9.704059623004358,0.31056246484235306,0.49340716004371643
669,scored,13.966699870328597,0.526999284927729,0.3897087574005127
748,scored,18.001258895525083,0.610146606757937,0.23672670125961304
778,scored,13.11283321919544,0.4053041358405752,0.3120267391204834
780,scored,21.877905471526965,0.5695217911692794,0.2805700898170471
79,scored,12.67738597257602,0.6211441015708702,0.27163270115852356
