image_id,status,psnr,ssim,lpips
1,scored,18.516195380568625,0.6811082633942256,0.1872178316116333
111,scored,16.49210932851749,0.5344617173306404,0.3653896152973175
146,scored,17.590859466809416,0.5433170120544238,0.3054036796092987
179,scored,12.964785730149588,0.4906846238630891,0.21714964509010315
22,scored,18.74372975356256,0.5344070973093958,0.35243216156959534
23,scored,8.6032315538079,0.29577356752243544,0.6512002348899841
493,scored,17.707842815946947,0.5211515286276414,0.25136643648147583
547,scored,23.2508257600794,0.510830409201903,0.39703941345214844
55,scored,8.328468385168572,0.2788223300402494,0.5751846432685852
665,scored,10.656279890003248,0.3270087978920555,0.4979959726333618
669,scored,17.03489474821367,0.47076736747537673,0.41158825159072876
748,scored,20.753143148875704,0.5731756331056466,0.2544156610965729
778,scored,14.59628799421461,0.4405733006284678,0.30482375621795654
780,scored,21.820775845506716,0.508896618597751,0.32330042123794556
79,scored,17.48225891328716,0.544337494298592,0.2959664762020111
