model_id,backend,load_ms,model_median_ms,model_p95_ms,e2e_median_ms,pss_peak_mb,success,failure_reason,thermal_before,thermal_after
zero-dce,cpu,240.508307,2324.933539,2375.489,2324.952231,613.5283203125,True,,light,light
sci-medium,cpu,122.728231,70.404231,85.285154,70.416923,218.68359375,True,,light,light
zero-dce,nnapi,170.704231,2365.499693,2398.523385,2365.522078,591.01171875,True,,light,light
zero-dce,xnnpack,165.862154,2305.012923,2331.787154,2305.038154,586.7705078125,True,,light,light
sci-medium,nnapi,418.893154,70.660924,105.677538,70.673846,227.4482421875,True,,light,light
sci-medium,xnnpack,112.499385,69.59423,92.795,69.608,225.0078125,True,,light,light
