image_id,status,psnr,ssim,lpips
1,scored,17.09310731752011,0.7497915048554405,0.2825680077075958
111,scored,25.03476565923584,0.8573249163737016,0.24537089467048645
146,scored,21.160285027154128,0.8070062053189052,0.26503729820251465
179,scored,10.983431657780752,0.5978429236355637,0.3246493935585022
22,scored,22.759985904526935,0.789263202353809,0.3294534385204315
23,scored,20.24680682050604,0.7483941422004815,0.43952587246894836
493,scored,11.888765604323687,0.4621667051803276,0.5310261249542236
547,scored,14.300460470192899,0.7199222227546144,0.344046026468277
55,scored,19.174832426946715,0.7783297223914065,0.4035432040691376
665,scored,21.599198516086258,0.7291019740763719,0.4427952170372009
669,scored,20.209404931225837,0.8193069270425171,0.27977412939071655
748,scored,13.637292150201825,0.7259988741663445,0.3198608160018921
778,scored,14.752736238817288,0.5813006272193731,0.4952065944671631
780,scored,10.831581624031779,0.5648006103202331,0.41738051176071167
79,scored,24.98905562693547,0.8288717992864533,0.2579099237918854
