image_id,status,psnr,ssim,lpips
1,scored,13.738757514699111,0.6897891272755938,0.20890966057777405
111,scored,12.577533222499193,0.6221483903649426,0.32367557287216187
146,scored,15.385643048199938,0.7226198217268393,0.21514737606048584
179,scored,20.33887306337992,0.6986357576934332,0.17503716051578522
22,scored,13.059033051837215,0.6299209556890975,0.33277225494384766
23,scored,8.220960067211534,0.34383549139531516,0.6353012323379517
493,scored,17.99083619979106,0.5686519779747518,0.20877274870872498
547,scored,19.59776895381871,0.5990840806652228,0.35766834020614624
55,scored,7.942101628762,0.3322222498618812,0.5534949898719788
665,scored,10.738719271673068,0.360400178605242,0.48787209391593933
669,scored,14.549694452136677,0.5685732895264671,0.37639546394348145
748,scored,19.862190211568024,0.6391607663548412,0.23344603180885315
778,scored,13.782014337103769,0.45679676387200735,0.2991136610507965
780,scored,22.367233552874048,0.5438486816726651,0.3292704224586487
79,scored,11.805240181504468,0.6352389069266606,0.2913775146007538
