label,mp,n_img,n,med,iqr_lo,iqr_hi,p90,mean,sd,load,pss,ms_per_mp
600x400,0.24,15,45,289.2,282.1,322.6,361.4,306.6,32.9,88.2,428.3,1204.9
900x600,0.54,15,45,921.0,818.2,931.4,940.2,869.7,74.7,116.9,763.2,1705.5
1200x800,0.96,15,45,2234.4,2211.7,2462.3,2492.1,2297.0,154.0,102.1,1175.3,2327.5
1800x1200,2.16,5,15,5560.1,5556.7,5603.6,5649.6,5549.1,145.9,93.4,2430.1,2574.1
