image_id,status,psnr,ssim,lpips
1,scored,17.09310453409422,0.7497913237744286,0.2825661897659302
111,scored,25.034764092038046,0.8573250404936168,0.24537141621112823
146,scored,21.160284833279967,0.8070061701704132,0.2650377154350281
179,scored,10.983431455355888,0.5978429865826927,0.324650377035141
22,scored,22.759985379125478,0.7892634683358118,0.3294546604156494
23,scored,20.24680686959933,0.7483938679952212,0.43952545523643494
493,scored,11.888766295032644,0.46216637936861105,0.5310253500938416
547,scored,14.300460667455432,0.7199219074347653,0.3440481722354889
55,scored,19.17484044319921,0.7783301817927396,0.4035436511039734
665,scored,21.599198060290583,0.729101898743374,0.44279512763023376
669,scored,20.20940688785311,0.8193070190047873,0.2797754108905792
748,scored,13.637290791294438,0.7259990416604456,0.31985974311828613
778,scored,14.752736172311977,0.5813005132277185,0.4952073395252228
780,scored,10.831581172429996,0.5648003130606764,0.4173792600631714
79,scored,24.989054544308885,0.8288714100897515,0.25791051983833313
