image_id,status,psnr,ssim,lpips
1,scored,26.958052020712454,0.9003618225526634,0.062243007123470306
111,scored,21.309537291085462,0.9004615373173075,0.09861891716718674
146,scored,28.184039137654548,0.8880416167815864,0.07341049611568451
179,scored,13.869129684801635,0.7097059860959508,0.10316834598779678
22,scored,28.14771873981271,0.8790868359275379,0.10815393924713135
23,scored,17.994764086985132,0.8035379801641671,0.23203083872795105
493,scored,14.430845704407096,0.5440138623349047,0.2339523434638977
547,scored,19.014296882495728,0.8249738852103198,0.13459759950637817
55,scored,16.849687975649573,0.8160821766840135,0.18717163801193237
665,scored,26.966912164172484,0.8011688460488929,0.2160322666168213
669,scored,26.874086609319967,0.8685612513609217,0.1086680218577385
748,scored,23.139444996962677,0.8782317875449261,0.06568385660648346
778,scored,23.989763065632697,0.7731256324701571,0.161027729511261
780,scored,16.4590065534616,0.6969397541729743,0.1547757238149643
79,scored,19.59132454249861,0.8939716659181203,0.07247889041900635
